,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
905,Bennett College,-79.77998,36.067531,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,680,609,71
906,Brevard College,-82.729763,35.237657,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,701,690,11
907,Campbell University,-78.739508,35.409333,"Private not-for-profit, 4-year or above",North Carolina,Doctor's degree -  professional practice,6122,4981,1141
908,Catawba College,-80.486575,35.692445,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,1310,1211,99
909,Chowan University,-77.099141,36.436258,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,1367,1285,82
910,Davidson College,-80.845236,35.500006,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,1788,1788,0
911,Duke University,-78.94226,36.00159,"Private not-for-profit, 4-year or above",North Carolina,Doctor's degree - research/scholarship and professional practice,15467,14894,573
912,East Carolina University,-77.366199,35.606347,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship and professional practice,26887,20971,5916
913,Elizabeth City State University,-76.210063,36.273539,"Public, 4-year or above",North Carolina,Master's degree,2421,2155,266
914,Elon University,-79.505632,36.104149,"Private not-for-profit, 4-year or above",North Carolina,Doctor's degree -  professional practice,6305,6052,253
915,Fayetteville State University,-78.894709,35.072485,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship,6179,4325,1854
916,Gardner-Webb University,-81.668141,35.24732,"Private not-for-profit, 4-year or above",North Carolina,Doctor's degree - research/scholarship and professional practice,4656,2784,1872
917,Greensboro College,-79.800232,36.071082,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,1012,781,231
918,Guilford College,-79.888848,36.092563,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,2302,1928,374
919,High Point University,-79.994545,35.972674,"Private not-for-profit, 4-year or above",North Carolina,Doctor's degree - research/scholarship,4199,4017,182
920,Johnson C Smith University,-80.854842,35.243384,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,1387,1323,64
921,Lees-McRae College,-81.870998,36.16362,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,890,883,7
922,Lenoir-Rhyne University,-81.326161,35.73904,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,1898,1519,379
923,Livingstone College,-80.484459,35.670743,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,1175,1164,11
924,Mars Hill University,-82.550859,35.825858,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,1440,1333,107
925,Meredith College,-78.689175,35.797197,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,1872,1602,270
926,Methodist University,-78.875024,35.137854,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,2463,2100,363
927,Montreat College,-82.297522,35.645844,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,926,635,291
928,Mount Olive College,-78.071265,35.206314,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,3414,1386,2028
929,North Carolina A & T State University,-79.770152,36.076737,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship,10561,9086,1475
930,University of North Carolina at Asheville,-82.565259,35.616618,"Public, 4-year or above",North Carolina,Master's degree,3784,3129,655
931,University of North Carolina at Chapel Hill,-79.050969,35.912165,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship and professional practice,29127,24390,4737
932,University of North Carolina at Charlotte,-80.73579,35.306834,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship and professional practice,26571,20436,6135
933,University of North Carolina at Greensboro,-79.809844,36.067503,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship,18074,13858,4216
934,North Carolina Central University,-78.898602,35.974237,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship and professional practice,8093,6550,1543
935,North Carolina State University at Raleigh,-78.674517,35.785111,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship and professional practice,34009,26770,7239
936,North Carolina Wesleyan College,-77.774231,36.017443,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,1602,1232,370
937,University of North Carolina Wilmington,-77.875527,34.225223,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship,13937,12001,1936
938,William Peace University,-78.636793,35.789105,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,1007,875,132
939,University of North Carolina at Pembroke,-79.201895,34.687231,"Public, 4-year or above",North Carolina,Master's degree,6222,4485,1737
940,Pfeiffer University,-80.283168,35.484696,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,1860,1041,819
941,Queens University of Charlotte,-80.832227,35.188929,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,2285,1579,706
942,Mid-Atlantic Christian University,-76.217496,36.303765,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,162,129,33
943,Saint Augustine's University,-78.621806,35.785032,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,1299,1265,34
944,Salem College,-80.241357,36.087531,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,1187,845,342
945,Shaw University,-78.637693,35.771181,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,2062,1875,187
946,St Andrews University,-79.478385,34.746283,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,635,592,43
947,Wake Forest University,-80.279004,36.135301,"Private not-for-profit, 4-year or above",North Carolina,Doctor's degree - research/scholarship and professional practice,7602,7375,227
948,Warren Wilson College,-82.441097,35.611762,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,893,887,6
949,Wingate University,-80.444465,34.979384,"Private not-for-profit, 4-year or above",North Carolina,Doctor's degree - research/scholarship and professional practice,3002,2457,545
950,Winston-Salem State University,-80.224905,36.089197,"Public, 4-year or above",North Carolina,Doctor's degree -  professional practice,5399,4614,785
951,Western Carolina University,-83.125447,35.28149,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship and professional practice,10107,7750,2357
952,Dickinson State University,-102.800511,46.882677,"Public, 4-year or above",North Dakota,Bachelor's degree,1449,1018,431
953,University of Jamestown,-98.697209,46.915402,"Private not-for-profit, 4-year or above",North Dakota,Doctor's degree - other,997,923,74
954,University of Mary,-100.752386,46.724893,"Private not-for-profit, 4-year or above",North Dakota,Doctor's degree -  professional practice,2910,1744,1166
955,Mayville State University,-97.322545,47.504671,"Public, 4-year or above",North Dakota,Bachelor's degree,1065,587,478
956,Minot State University,-101.300624,48.246877,"Public, 4-year or above",North Dakota,Master's degree,3533,2273,1260
957,University of North Dakota,-97.070823,47.921881,"Public, 4-year or above",North Dakota,Doctor's degree - research/scholarship and professional practice,15143,11160,3983
958,North Dakota State University-Main Campus,-96.805689,46.894523,"Public, 4-year or above",North Dakota,Doctor's degree - research/scholarship and professional practice,14629,11798,2831
959,Valley City State University,-98.001762,46.919144,"Public, 4-year or above",North Dakota,Master's degree,1366,761,605
960,University of Akron Main Campus,-81.510328,41.077768,"Public, 4-year or above",Ohio,Doctor's degree - research/scholarship and professional practice,24932,18340,6592
961,Ashland University,-82.320621,40.860987,"Private not-for-profit, 4-year or above",Ohio,Doctor's degree - research/scholarship,5979,3444,2535
962,Baldwin Wallace University,-81.849112,41.373938,"Private not-for-profit, 4-year or above",Ohio,Master's degree,4053,3363,690
963,Bluffton University,-83.897678,40.896998,"Private not-for-profit, 4-year or above",Ohio,Master's degree,1146,920,226
964,Bowling Green State University-Main Campus,-83.637531,41.377036,"Public, 4-year or above",Ohio,Doctor's degree - research/scholarship,16958,14764,2194
965,Capital University,-82.937867,39.954875,"Private not-for-profit, 4-year or above",Ohio,Doctor's degree -  professional practice,3628,2980,648
966,Case Western Reserve University,-81.605769,41.500812,"Private not-for-profit, 4-year or above",Ohio,Doctor's degree - research/scholarship and professional practice,10325,9270,1055
967,Cedarville University,-83.812098,39.750338,"Private not-for-profit, 4-year or above",Ohio,Doctor's degree -  professional practice,3462,3163,299
968,Central State University,-83.876795,39.716465,"Public, 4-year or above",Ohio,Master's degree,2068,1840,228
969,University of Cincinnati-Main Campus,-84.51428,39.131159,"Public, 4-year or above",Ohio,Doctor's degree - research/scholarship and professional practice,34379,25873,8506
970,Ohio Christian University,-82.905986,39.610895,"Private not-for-profit, 4-year or above",Ohio,Master's degree,3711,1859,1852
971,Cleveland State University,-81.673052,41.502918,"Public, 4-year or above",Ohio,Doctor's degree - research/scholarship and professional practice,17497,10825,6672
972,University of Dayton,-84.173662,39.73686,"Private not-for-profit, 4-year or above",Ohio,Doctor's degree - research/scholarship and professional practice,10835,9390,1445
973,Defiance College,-84.356596,41.300336,"Private not-for-profit, 4-year or above",Ohio,Master's degree,989,766,223
974,Denison University,-82.520625,40.072582,"Private not-for-profit, 4-year or above",Ohio,Bachelor's degree,2274,2253,21
975,The University of Findlay,-83.652067,41.05441,"Private not-for-profit, 4-year or above",Ohio,Doctor's degree - research/scholarship and professional practice,4880,3041,1839
976,Heidelberg University,-83.166581,41.114337,"Private not-for-profit, 4-year or above",Ohio,Master's degree,1241,1094,147
977,Hiram College,-81.141552,41.310998,"Private not-for-profit, 4-year or above",Ohio,Master's degree,1311,1117,194
978,John Carroll University,-81.533103,41.488978,"Private not-for-profit, 4-year or above",Ohio,Master's degree,3711,3213,498
979,Kent State University at Salem,-80.835458,40.86408,"Public, 4-year or above",Ohio,Bachelor's degree,1846,703,1143
980,Kent State University at Kent,-81.342253,41.146856,"Public, 4-year or above",Ohio,Doctor's degree - research/scholarship and professional practice,28998,21737,7261
981,Kenyon College,-82.397977,40.374408,"Private not-for-profit, 4-year or above",Ohio,Bachelor's degree,1705,1695,10
982,Lake Erie College,-81.251817,41.717841,"Private not-for-profit, 4-year or above",Ohio,Master's degree,1086,875,211
983,Lourdes University,-83.706649,41.708694,"Private not-for-profit, 4-year or above",Ohio,Master's degree,2187,1452,735
984,Malone University,-81.383525,40.826516,"Private not-for-profit, 4-year or above",Ohio,Master's degree,2074,1525,549
985,Marietta College,-81.450038,39.417638,"Private not-for-profit, 4-year or above",Ohio,Master's degree,1542,1429,113
986,Miami University-Oxford,-84.731821,39.509642,"Public, 4-year or above",Ohio,Doctor's degree - research/scholarship,17901,16038,1863
987,University of Mount Union,-81.108624,40.905093,"Private not-for-profit, 4-year or above",Ohio,Master's degree,2187,2118,69
988,Mount Vernon Nazarene University,-82.474667,40.373859,"Private not-for-profit, 4-year or above",Ohio,Master's degree,2229,1667,562
989,College of Mount St Joseph,-84.640143,39.094519,"Private not-for-profit, 4-year or above",Ohio,Doctor's degree - other,2326,1432,894
990,Muskingum University,-81.737192,39.996635,"Private not-for-profit, 4-year or above",Ohio,Master's degree,2154,1501,653
991,Notre Dame College,-81.516212,41.506938,"Private not-for-profit, 4-year or above",Ohio,Master's degree,2269,1405,864
992,Oberlin College,-82.221786,41.29474,"Private not-for-profit, 4-year or above",Ohio,Master's degree,2911,2872,39
993,Ohio Dominican University,-82.940499,39.99265,"Private not-for-profit, 4-year or above",Ohio,Master's degree,2573,1845,728
994,Ohio Northern University,-83.830729,40.766144,"Private not-for-profit, 4-year or above",Ohio,Doctor's degree -  professional practice,3619,3098,521
995,Ohio State University-Lima Campus,-84.026195,40.737828,"Public, 4-year or above",Ohio,Master's degree,1077,880,197
996,Ohio State University-Mansfield Campus,-82.578673,40.797259,"Public, 4-year or above",Ohio,Master's degree,1204,985,219
997,Ohio State University-Marion Campus,-83.085889,40.579444,"Public, 4-year or above",Ohio,Master's degree,1259,973,286
998,Ohio State University-Newark Campus,-82.447992,40.068353,"Public, 4-year or above",Ohio,Master's degree,2315,1893,422
999,Ohio State University-Main Campus,-83.009001,39.998389,"Public, 4-year or above",Ohio,Doctor's degree - research/scholarship and professional practice,57466,50012,7454
1000,Ohio University-Main Campus,-82.101064,39.326799,"Public, 4-year or above",Ohio,Doctor's degree - research/scholarship and professional practice,28786,19449,9337
1001,Ohio Wesleyan University,-83.067912,40.296912,"Private not-for-profit, 4-year or above",Ohio,Bachelor's degree,1830,1809,21
1002,Otterbein University,-82.936231,40.12534,"Private not-for-profit, 4-year or above",Ohio,Doctor's degree -  professional practice,2919,2411,508
1003,University of Rio Grande,-82.377359,38.88058,"Private not-for-profit, 4-year or above",Ohio,Master's degree,2314,1808,506
1004,Shawnee State University,-82.995357,38.730909,"Public, 4-year or above",Ohio,Master's degree,4341,3710,631
1005,Franciscan University of Steubenville,-80.623094,40.376086,"Private not-for-profit, 4-year or above",Ohio,Master's degree,2733,2148,585
1006,Tiffin University,-83.18355,41.119193,"Private not-for-profit, 4-year or above",Ohio,Master's degree,4954,2323,2631
1007,University of Toledo,-83.615225,41.65795,"Public, 4-year or above",Ohio,Doctor's degree - research/scholarship and professional practice,20743,16179,4564
1008,Union Institute & University,-84.500139,39.126856,"Private not-for-profit, 4-year or above",Ohio,Doctor's degree - research/scholarship,1660,1041,619
